User-ID,ISBN,Predicted-Rating,Actual-Rating,Rating Difference,Difference Direction,,,(7 or Greater),(6 or Less),,
154928,080071816X,8.175,7,1.175,-1,,,,,,
37950,920897517,7.75,7,0.75,-1,,,,,,
114197,006440031X,7.875,7,0.875,-1,,,,,,
29915,962726303,7.2,7,0.2,-1,,,,,,
26146,860682838,8.05,7,1.05,-1,,,,,,
31315,553569082,7.275,7,0.275,-1,,,,,,
215225,3492222749,7.925,7,0.925,-1,,,,,,
40052,385492081,7.45,7,0.45,-1,,,,,,
37471,425192938,7.9,7,0.9,-1,,,,,,
242006,373158009,7.9,7,0.9,-1,,,,,,
17789,2253141976,7.65,7,0.65,-1,,,,,,
170499,006019491X,7.175,7,0.175,-1,,,,,,
270554,61097314,7.65,7,0.65,-1,,,,,,
244790,038080123X,7.05,7,0.05,-1,,,,,,
41449,452284449,7.125,7,0.125,-1,,,,,,
144133,385337639,7.575,7,0.575,-1,,,,,,
62670,2867447801,7.725,7,0.725,-1,,,,,,
194600,312966202,7.325,7,0.325,-1,,,,,,
26134,679426140,8.075,7,1.075,-1,,,,,,
248718,380788098,7.525,7,0.525,-1,,,,,,
132173,446609188,7.925,7,0.925,-1,,,,,,
224241,3442541689,7.3,7,0.3,-1,,,,,,
37471,425192938,7.9,7,0.9,-1,,,,,,
66878,671004093,7.55,7,0.55,-1,,,,,,
98391,505525097,8.925,8,0.925,-1,,,,,,
55375,316899984,7.825,8,0.175,1,,,,,,
30276,373613741,6.925,8,1.075,1,,,,,,
253386,743411331,7.875,8,0.125,1,,,,,,
216683,380781220,8.175,8,0.175,-1,,,,,,
32964,385493800,7.1,8,0.9,1,,,,,,
175430,344244554X,7.65,8,0.35,1,,,,,,
104636,743439740,7.7,8,0.3,1,,,,,,
216012,059522976X,8.35,8,0.35,-1,,,,,,
152036,385314388,8.15,8,0.15,-1,,,,,,
16634,517562278,7.425,8,0.575,1,,,,,,
143415,590339672,7.7,8,0.3,1,,,,,,
192093,805063897,7.2,8,0.8,1,,,,,,
52917,61097861,8.35,8,0.35,-1,,,,,,
64155,679442790,7.975,8,0.025,1,,,,,,
138382,156138450X,7.9,8,0.1,1,,,,,,
12209,374480095,7.55,8,0.45,1,,,,,,
102220,743460545,7.575,8,0.425,1,,,,,,
196598,441790348,7.525,8,0.475,1,,,,,,
44756,446611379,7.6,8,0.4,1,,,,,,
92909,3499609460,7.475,8,0.525,1,,,,,,
55375,316899984,7.825,8,0.175,1,,,,,,
98391,312877641,8.525,8,0.525,-1,,,,,,
69268,140185011,7.75,8,0.25,1,,,,,,
71831,345366301,7.675,8,0.325,1,,,,,,
92909,3499609460,7.475,8,0.525,1,,,,,,
201677,312924801,7.475,8,0.525,1,,,,,,
103445,821733931,7.9,8,0.1,1,,,,,,
16488,60915544,7.45,8,0.55,1,,,,,,
125217,446608297,7.375,8,0.625,1,,,,,,
10544,307123332,7.325,8,0.675,1,,,,,,
217971,60928336,8.025,8,0.025,-1,,,,,,
44065,425169006,7.625,8,0.375,1,,,,,,
69697,373258798,7.8,8,0.2,1,,,,,,
196077,871137534,7.45,8,0.55,1,,,,,,
150968,316107255,7.95,8,0.05,1,,,,,,
129074,440167477,7.725,8,0.275,1,,,,,,
17667,671877437,7.525,8,0.475,1,,,,,,
197574,671032739,7.8,8,0.2,1,,,,,,
250342,152126759,7.05,8,0.95,1,,,,,,
265889,1551667142,7.45,8,0.55,1,,,,,,
147678,60934913,7.725,8,0.275,1,,,,,,
75860,553296892,8,8,0,0,,,,,,
234419,590441698,7.8,8,0.2,1,,,,,,
168971,451204778,7.375,8,0.625,1,,,,,,
162564,60928336,7.9,8,0.1,1,,,,,,
110373,044022165X,8.45,8,0.45,-1,,,,,,
11676,752837583,7.95,8,0.05,1,,,,,,
49460,399145672,7.675,8,0.325,1,,,,,,
172676,66211247,7.275,8,0.725,1,,,,,,
69268,140185011,7.75,8,0.25,1,,,,,,
254502,385196156,8.125,9,0.875,1,,,,,,
214786,394756886,7.875,9,1.125,1,,,,,,
224349,060960306X,7.3,9,1.7,1,,,,,,
67840,743454146,7.75,9,1.25,1,,,,,,
98391,078686656X,8.75,9,0.25,1,,,,,,
162639,515101486,7.875,9,1.125,1,,,,,,
227295,439010780,7.675,9,1.325,1,,,,,,
141601,207073269X,7.85,9,1.15,1,,,,,,
187256,440514428,7.05,9,1.95,1,,,,,,
168245,1565071662,7.7,9,1.3,1,,,,,,
104636,515090174,7.8,9,1.2,1,,,,,,
265313,1588468011,7.175,9,1.825,1,,,,,,
181212,425171493,8.45,9,0.55,1,,,,,,
98391,037371064X,8.525,9,0.475,1,,,,,,
177569,446607274,7.5,9,1.5,1,,,,,,
64641,679435328,7.9,9,1.1,1,,,,,,
228764,038531695X,7.55,9,1.45,1,,,,,,
13958,044022473X,7.825,9,1.175,1,,,,,,
125774,671543180,7.225,9,1.775,1,,,,,,
69808,2203388617,8.075,9,0.925,1,,,,,,
265313,142002267,7.375,9,1.625,1,,,,,,
182527,743407067,8.3,9,0.7,1,,,,,,
7346,440234743,7.8,9,1.2,1,,,,,,
222204,380793156,7.425,9,1.575,1,,,,,,
130571,375705856,7.775,9,1.225,1,,,,,,
104636,515119202,7.8,9,1.2,1,,,,,,
147847,671883224,7.6,9,1.4,1,,,,,,
118543,067168390X,8.275,9,0.725,1,,,,,,
197659,1577488237,7.85,9,1.15,1,,,,,,
167813,553268252,7.65,10,2.35,1,,,,,,
76626,747558507,8,10,2,1,,,,,,
56554,767905202,8.225,10,1.775,1,,,,,,
183995,836218450,7.55,10,2.45,1,,,,,,
68272,66214122,7.875,10,2.125,1,,,,,,
97694,385509510,8.75,10,1.25,1,,,,,,
96054,62732757,7.75,10,2.25,1,,,,,,
278563,185813501X,7.4,10,2.6,1,,,,,,
114742,345396936,7.875,10,2.125,1,,,,,,
59172,1565296664,7.625,10,2.375,1,,,,,,
233928,373871856,8,10,2,1,,,,,,
76626,747558507,8,10,2,1,,,,,,
150979,765108291,7.925,10,2.075,1,,,,,,
174683,345350049,7.175,10,2.825,1,,,,,,
113983,1884731112,8.275,10,1.725,1,,,,,,
149907,836280059,7.8,10,2.2,1,,,,,,
75649,394747232,8,10,2,1,,,,,,
225199,385418868,7.575,10,2.425,1,,,,,,
130847,553109588,8.125,10,1.875,1,,,,,,
127481,006053429X,7.45,10,2.55,1,,,,,,
24632,802482422,7.35,10,2.65,1,,,,,,
119171,787968331,7.95,10,2.05,1,,,,,,
88836,762408014,7.85,10,2.15,1,,,,,,
258913,359628368X,8.1,10,1.9,1,,,,,,
29209,618219021,7.55,10,2.45,1,,,,,,
150979,765108291,7.925,10,2.075,1,,,,,,
139524,1569319634,8.15,10,1.85,1,,,,,,
16634,515103802,7.425,10,2.575,1,,,,,,
168245,380792028,7.35,10,2.65,1,,,,,,
69697,843950501,8.025,10,1.975,1,,,,,,
203075,689306474,7.925,10,2.075,1,,,,,,
119575,446323861,7.975,10,2.025,1,,,,,,
49155,743417178,8.125,10,1.875,1,,,,,,
50823,380016974,8.175,10,1.825,1,,,,,,
68555,380726041,7.9,10,2.1,1,,,,,,
223872,451210859,7.15,10,2.85,1,,,,,,
216670,316284955,8.075,10,1.925,1,,,,,,
100906,440218039,7.575,10,2.425,1,,,,,,
